//=======================================
// 1 = Monday, Thursday
// 2 = Tuesday, Friday
// 3 = Wednesday, Saturday
// 4 = Sunday
//=======================================

1
//	MobID	Map	X	Y	Stage	Boss	Name
//Stage 1
	517	69	189	96	2	0 //2
	516	69	185	91	2	0 //3
	516	69	185	91	2	0 //3
	516	69	185	91	2	0 //3
	515	69	177	93	2	0 //4
	515	69	177	93	2	0 //4
	515	69	177	93	2	0 //4
//Stage 4
	508	69	182	93	3	1 //boss
end

2
//	MobID	Map	X	Y	Stage	Boss	Name
//Stage 1
	512	70	55	64	0	0 //4
	512	70	55	64	0	0 //4
	512	70	55	64	0	0 //4
	512	70	55	64	0	0 //4
	513	70	59	68	0	0 //5
	513	70	59	68	0	0 //5
	513	70	59	68	0	0 //5
	513	70	59	68	0	0 //5
	513	70	59	68	0	0 //5
	514	70	59	72	0	0 //4
	514	70	59	72	0	0 //4
	514	70	59	72	0	0 //4
	514	70	59	72	0	0 //4
	515	70	58	60	0	0 //4
	515	70	58	60	0	0 //4
	515	70	58	60	0	0 //4
	515	70	58	60	0	0 //4
	516	70	60      57	0	0 //4
	516	70	60      57	0	0 //4
	516	70	60      57	0	0 //4
	516	70	60      57	0	0 //4
	517	70	68	67	0	0 //4
	517	70	68	67	0	0 //4
	517	70	68	67	0	0 //4
	517	70	68	67	0	0 //4
	516	70	69	60	0	0 //3
	516	70	69	60	0	0 //3
	516	70	69	60	0	0 //3
	515	70	69	70	0	0 //3
	515	70	69	70	0	0 //3
	515	70	69	70	0	0 //3
	514	70	70	68	0	0 //2
	514	70	70	68	0	0 //2
	513	70	66	59	0	0 //2
	513	70	66	59	0	0 //2
	512	70	70	65	0	0 //2
	512	70	70	65	0	0 //2
	513	70	67	58	0	0 //2
	513	70	67	58	0	0 //2

//Stage 2
	515	70	36	97	1	0 //4
	515	70	36	97	1	0 //4
	515	70	36	97	1	0 //4
	515	70	36	97	1	0 //4
	516	70	35      99	1	0 //4
	516	70	35      99	1	0 //4
	516	70	35      99	1	0 //4
	516	70	35      99	1	0 //4
	517	70	37	95	1	0 //4
	517	70	37	95	1	0 //4
	517	70	37	95	1	0 //4
	517	70	37	95	1	0 //4
	514	70	40	102	1	0 //4
	514	70	40	102	1	0 //4
	514	70	40	102	1	0 //4
	514	70	40	102	1	0 //4
	513	70	34	104	1	0 //4
	513	70	34	104	1	0 //4
	513	70	34	104	1	0 //4
	513	70	34	104	1	0 //4
//Stage 3
	515	70	100	110	2	0 //4
	515	70	100	110	2	0 //4
	515	70	100	110	2	0 //4
	515	70	100	110	2	0 //4
	516	70	98	111	2	0 //4
	516	70	98	111	2	0 //4
	516	70	98	111	2	0 //4
	516	70	98	111	2	0 //4
	517	70	101	110	2	0 //4
	517	70	101	110	2	0 //4
	517	70	101	110	2	0 //4
	517	70	101	110	2	0 //4
	516	70	96	98	2	0 //4
	516	70	96	98	2	0 //4
	516	70	96	98	2	0 //4
	516	70	96	98	2	0 //4
	516	70	104     105	2	0 //4
	516	70	104     105	2	0 //4
	516	70	104     105	2	0 //4
	516	70	104     105	2	0 //4
	516	70	100	102	2	0 //4
	516	70	100	102	2	0 //4
	516	70	100	102	2	0 //4
	516	70	100	102	2	0 //4
	515	70	98	104	2	0 //3
	515	70	98	104	2	0 //3
	515	70	98	104	2	0 //3
	518	70	95	106	2	0 //3
	518	70	95	106	2	0 //3
	518	70	95	106	2	0 //3
	516	70	107	95	2	0 //2
	516	70	107	95	2	0 //2
	517	70	93	96	2	0 //2 
	517	70	93	96	2	0 //2 
	517	70	105	99	2	0 //2
	517	70	105	99	2	0 //2
	518	70	102	103	2	0 //2
	518	70	102	103	2	0 //2
//Stage 4
	509	70	95	109	3	1 //boss
end

3
//	MobID	Map	X	Y	Stage	Boss	Name
//Stage 1
	512	71	142	191	0	0 //5
	512	71	142	191	0	0 //5
	512	71	142	191	0	0 //5
	512	71	142	191	0	0 //5
	512	71	142	191	0	0 //5
	513	71	142	196	0	0 //2
	513	71	142	196	0	0 //2
	514	71	141	186	0	0 //3
	514	71	141	186	0	0 //3
	514	71	141	186	0	0 //3
	512	71	136	182	0	0 //4
	512	71	136	182	0	0 //4
	512	71	136	182	0	0 //4
	512	71	136	182	0	0 //4
	513	71	135	188	0	0 //3
	513	71	135	188	0	0 //3
	513	71	135	188	0	0 //3
	514	71	138	200	0	0 //2
	514	71	138	200	0	0 //2
	512	71	131	199	0	0 //3
	512	71	131	199	0	0 //3
	512	71	131	199	0	0 //3
	513	71	129	195	0	0 //4
	513	71	129	195	0	0 //4
	513	71	129	195	0	0 //4
	513	71	129	195	0	0 //4
	514	71	128	185	0	0 //3
	514	71	128	185	0	0 //3
	514	71	128	185	0	0 //3
	526	71	126	192	0	0 //4
	526	71	126	192	0	0 //4
	526	71	126	192	0	0 //4
	526	71	126	192	0	0 //4
	526	71	132	191	0	0 //2
	526	71	132	191	0	0 //2
//Stage 2
	516	71	222	139	1	0 //5
	516	71	222	139	1	0 //5
	516	71	222	139	1	0 //5
	516	71	222	139	1	0 //5
	516	71	222	139	1	0 //5
	515	71	228	138	1	0 //3
	515	71	228	138	1	0 //3
	515	71	228	138	1	0 //3
	517	71	230     142	1	0 //4 
	517	71	230     142	1	0 //4 
	517	71	230     142	1	0 //4 
	517	71	230     142	1	0 //4 
	516	71	217	138	1	0 //3
	516	71	217	138	1	0 //3
	516	71	217	138	1	0 //3
	515	71	216	142	1	0 //2
	515	71	216	142	1	0 //2
	517	71	223	146	1	0 //5
	517	71	223	146	1	0 //5
	517	71	223	146	1	0 //5
	517	71	223	146	1	0 //5
	517	71	223	146	1	0 //5
	516	71	228	147	1	0 //4
	516	71	228	147	1	0 //4
	516	71	228	147	1	0 //4
	516	71	228	147	1	0 //4
	515	71	217	147	1	0 //3
	515	71	217	147	1	0 //3
	515	71	217	147	1	0 //3
	517	71	223	153	1	0 //2
	517	71	223	153	1	0 //2
	516	71	229	154	1	0 //3
	516	71	229	154	1	0 //3
	516	71	229	154	1	0 //3
	515	71	216	154	1	0 //3
	515	71	216	154	1	0 //3
	515	71	216	154	1	0 //3
//Stage 3
	516	71	168	228	2	0 //5
	516	71	168	228	2	0 //5
	516	71	168	228	2	0 //5
	516	71	168	228	2	0 //5
	516	71	168	228	2	0 //5
	515	71	166	230	2	0 //3
	515	71	166	230	2	0 //3
	515	71	166	230	2	0 //3
	517	71	170     226	2	0 //4 
	517	71	170     226	2	0 //4 
	517	71	170     226	2	0 //4 
	517	71	170     226	2	0 //4 
	516	71	164	234	2	0 //3
	516	71	164	234	2	0 //3
	516	71	164	234	2	0 //3
	515	71	169	227	2	0 //2
	515	71	169	227	2	0 //2
	517	71	167	224	2	0 //5
	517	71	167	224	2	0 //5
	517	71	167	224	2	0 //5
	517	71	167	224	2	0 //5
	517	71	167	224	2	0 //5
	516	71	165	236	2	0 //4
	516	71	165	236	2	0 //4
	516	71	165	236	2	0 //4
	516	71	165	236	2	0 //4
	515	71	169	230	2	0 //3
	515	71	169	230	2	0 //3
	515	71	169	230	2	0 //3
	517	71	166	228	2	0 //2
	517	71	166	229	2	0 //2
	516	71	167	232	2	0 //3
	516	71	167	232	2	0 //3
	516	71	167	232	2	0 //3
	515	71	164	225	2	0 //3
	515	71	164	225	2	0 //3
	515	71	164	225	2	0 //3
//Stage 4
	510	71	168	228	3	1 //boss
end

4
//	MobID	Map	X	Y	Stage	Boss	Name
//Stage 1
	513	72	77	68	0	0 //5
	513	72	77	68	0	0 //5
	513	72	77	68	0	0 //5
	513	72	77	68	0	0 //5
	513	72	77	68	0	0 //5
	513	72	78	62	0	0 //2
	513	72	78	62	0	0 //2
	514	72	71	61	0	0 //3	
	514	72	71	61	0	0 //3
	514	72	71	61	0	0 //3
	514	72	70	68	0	0 //5
	514	72	70	68	0	0 //5
	514	72	70	68	0	0 //5
	514	72	70	68	0	0 //5
	514	72	70	68	0	0 //5
	517	72	70	74	0	0 //3
	517	72	70	74	0	0 //3
	517	72	70	74	0	0 //3
	515	72	61	74	0	0 //2
	515	72	61	74	0	0 //2
	515	72	62	67	0	0 //3
	515	72	62	67	0	0 //3
	515	72	62	67	0	0 //3
	516	72	62	62	0	0 //4
	516	72	62	62	0	0 //4
	516	72	62	62	0	0 //4
	516	72	62	62	0	0 //4
	516	72	54	68	0	0 //3
	516	72	54	68	0	0 //3
	516	72	54	68	0	0 //3
	526	72	66	65	0	0 //1
	526	72	66	71	0	0 //1
//Stage 2
	516	72	32	182	1	0 //5
	516	72	32	182	1	0 //5
	516	72	32	182	1	0 //5
	516	72	32	182	1	0 //5
	516	72	32	182	1	0 //5
	515	72	33	187	1	0 //3
	515	72	33	187	1	0 //3
	515	72	33	187	1	0 //3
	517	72	37	187	1	0 //4
	517	72	37	187	1	0 //4
	517	72	37	187	1	0 //4
	517	72	37	187	1	0 //4
	516	72	28	187	1	0 //3
	516	72	28	187	1	0 //3
	516	72	28	187	1	0 //3
	516	72	30	191	1	0 //2
	516	72	30	191	1	0 //2
	517	72	38	191	1	0 //3
	517	72	38	191	1	0 //3
	517	72	38	191	1	0 //3
	517	72	45	191	1	0 //4
	517	72	45	191	1	0 //4
	517	72	45	191	1	0 //4
	517	72	45	191	1	0 //4
	518	72	23	187	1	0 //3
	518	72	23	187	1	0 //3
	518	72	23	187	1	0 //3
	518	72	47	188	1	0 //2
	518	72	47	188	1	0 //2
	519	72	42	188	1	0 //3
	519	72	42	188	1	0 //3
	519	72	42	188	1	0 //3
	519	72	25	182	1	0 //4
	519	72	25	182	1	0 //4
	519	72	25	182	1	0 //4
	519	72	25	182	1	0 //4
//Stage 3	
	519	72	162	132	2	0 //5
	519	72	162	132	2	0 //5
	519	72	162	132	2	0 //5
	519	72	162	132	2	0 //5
	519	72	162	132	2	0 //5
	520	72	168	132	2	0 //5
	520	72	168	132	2	0 //5
	520	72	168	132	2	0 //5
	520	72	168	132	2	0 //5
	520	72	168	132	2	0 //5
	520	72	174	132	2	0 //5
	520	72	174	132	2	0 //5
	520	72	174	132	2	0 //5
	520	72	174	132	2	0 //5
	520	72	174	132	2	0 //5
	520	72	180	132	2	0 //5
	520	72	180	132	2	0 //5
	520	72	180	132	2	0 //5
	520	72	180	132	2	0 //5
	520	72	180	132	2	0 //5
	521	72	186	132	2	0 //5
	521	72	186	132	2	0 //5
	521	72	186	132	2	0 //5
	521	72	186	132	2	0 //5
	521	72	186	132	2	0 //5
	521	72	191	132	2	0 //5
	521	72	191	132	2	0 //5
	521	72	191	132	2	0 //5
	521	72	191	132	2	0 //5
	521	72	191	132	2	0 //5
	521	72	194	132	2	0 //5
	521	72	194	132	2	0 //5
	521	72	194	132	2	0 //5
	521	72	194	132	2	0 //5
	521	72	194	132	2	0 //5
//Stage 4
	505	72	165	131	3	1 //Boss
//Stage 5
	521	72	238	24	4	0 //5
	521	72	238	24	4	0 //5
	521	72	238	24	4	0 //5
	521	72	238	24	4	0 //5
	521	72	238	24	4	0 //5
	520	72	233	24	4	0 //5
	520	72	233	24	4	0 //5
	520	72	233	24	4	0 //5
	520	72	233	24	4	0 //5
	520	72	233	24	4	0 //5
	519	72	226	24	4	0 //5
	519	72	226	24	4	0 //5
	519	72	226	24	4	0 //5
	519	72	226	24	4	0 //5
	519	72	226	24	4	0 //5
	520	72	220	24	4	0 //5
	520	72	220	24	4	0 //5
	520	72	220	24	4	0 //5
	520	72	220	24	4	0 //5
	520	72	220	24	4	0 //5
//Stage 6
	504	72	187	24	5	1 //Boss

end
